TIME,H2S-ppb,H2S-ppb-zugam,speed-avg,speed-max,vane-avg
11/03/2025 13:46:07,18.9,7.44,3.2,5.03,22.0
11/03/2025 13:50:55,20.21,7.52,3.2,5.36,23.0
11/03/2025 13:56:07,21.86,7.53,2.66,4.02,357.0
11/03/2025 14:00:55,20.5,7.11,3.16,4.36,19.0
11/03/2025 14:06:07,22.04,6.53,2.91,4.36,4.0
11/03/2025 14:10:53,23.15,6.51,2.92,4.69,10.0
11/03/2025 14:16:07,26.24,5.16,2.45,4.02,18.0
11/03/2025 14:21:13,28.04,1.92,2.58,4.02,24.0
11/03/2025 14:26:07,32.41,3.18,2.33,3.69,21.0
11/03/2025 14:30:53,37.04,2.32,2.04,3.02,355.0
11/03/2025 15:26:07,33.77,16.46,0.22,1.01,144.0
11/03/2025 16:26:07,29.4,0.11,0.44,3.02,228.0
11/03/2025 16:36:07,30.09,0.71,1.49,3.35,178.0
11/03/2025 16:40:57,29.36,0.88,1.74,3.02,168.0
11/03/2025 16:46:06,29.9,3.33,1.43,3.02,166.0
11/03/2025 16:50:56,26.32,0.9,1.87,3.35,172.0
11/03/2025 16:56:08,27.92,2.35,1.74,3.35,163.0
11/03/2025 17:00:54,25.93,1.01,1.88,3.35,169.0
11/03/2025 17:06:08,26.52,1.1,2.45,5.03,166.0
11/03/2025 17:10:53,27.66,1.69,1.63,3.69,179.0
11/03/2025 17:16:08,28.94,2.2,1.47,3.69,172.0
11/03/2025 17:21:14,29.87,2.1,1.52,3.69,160.0
11/03/2025 17:26:09,30.89,31.03,1.52,4.02,160.0
11/03/2025 17:30:57,26.65,4.87,0.95,2.01,184.0
11/03/2025 17:36:09,25.72,1.84,1.21,2.68,177.0
11/03/2025 17:40:54,30.64,4.42,0.92,2.01,168.0
11/03/2025 17:46:08,29.02,3.55,0.72,2.01,179.0
11/03/2025 17:50:55,28.69,8.69,0.51,1.34,207.0
11/03/2025 17:56:09,27.29,5.54,1.17,2.35,191.0
11/03/2025 18:00:53,28.0,5.41,1.4,3.35,188.0
11/03/2025 18:06:08,24.38,3.43,1.53,3.02,173.0
11/03/2025 18:10:55,24.0,4.09,2.52,5.03,159.0
11/03/2025 18:16:08,25.52,2.65,2.19,4.02,152.0
11/03/2025 18:21:16,27.81,1.81,2.09,4.02,157.0
11/03/2025 18:26:09,26.56,33.15,1.68,3.69,163.0
11/03/2025 18:30:55,25.15,4.52,1.02,2.01,186.0
11/03/2025 18:36:08,28.94,3.15,0.82,2.35,180.0
11/03/2025 18:40:55,28.08,3.12,0.67,2.01,182.0
