TIME,CH3SH PPB Médio,CH3SH PPB Máximo,CH3SH PPB Mínimo,CH3SH uG Médio
2026-03-22 18:01:51,3 ppb,7 ppb,1 ppb,513 ppb
2026-03-22 18:32:03,3 ppb,7 ppb,1 ppb,513 ppb
2026-03-22 19:02:17,3 ppb,7 ppb,1 ppb,514 ppb
2026-03-22 19:32:28,3 ppb,7 ppb,1 ppb,514 ppb
2026-03-22 20:02:34,3 ppb,7 ppb,1 ppb,514 ppb
2026-03-22 20:32:41,3 ppb,7 ppb,1 ppb,514 ppb
2026-03-22 21:02:47,3 ppb,7 ppb,1 ppb,514 ppb
2026-03-22 21:32:53,3 ppb,7 ppb,1 ppb,514 ppb
2026-03-22 22:02:59,3 ppb,7 ppb,1 ppb,515 ppb
2026-03-22 22:33:06,3 ppb,7 ppb,1 ppb,515 ppb
2026-03-22 23:03:12,3 ppb,7 ppb,1 ppb,515 ppb
2026-03-22 23:33:18,3 ppb,7 ppb,1 ppb,515 ppb
2026-03-23 00:33:30,3 ppb,7 ppb,1 ppb,515 ppb
2026-03-23 01:03:37,3 ppb,7 ppb,1 ppb,515 ppb
2026-03-23 01:33:43,3 ppb,7 ppb,1 ppb,515 ppb
2026-03-23 02:03:49,3 ppb,7 ppb,1 ppb,515 ppb
2026-03-23 02:33:55,3 ppb,7 ppb,1 ppb,515 ppb
2026-03-23 03:04:02,3 ppb,7 ppb,1 ppb,515 ppb
2026-03-23 03:34:08,3 ppb,7 ppb,1 ppb,516 ppb
2026-03-23 04:04:14,3 ppb,7 ppb,1 ppb,516 ppb
2026-03-23 04:34:21,3 ppb,7 ppb,1 ppb,516 ppb
2026-03-23 05:04:27,3 ppb,7 ppb,1 ppb,516 ppb
2026-03-23 05:34:39,3 ppb,7 ppb,1 ppb,516 ppb
2026-03-23 06:04:45,3 ppb,7 ppb,1 ppb,516 ppb
2026-03-23 06:34:51,3 ppb,7 ppb,1 ppb,516 ppb
2026-03-23 07:04:57,3 ppb,7 ppb,1 ppb,516 ppb
2026-03-23 07:35:04,3 ppb,7 ppb,1 ppb,516 ppb
2026-03-23 08:05:10,3 ppb,7 ppb,1 ppb,516 ppb
2026-03-23 08:35:16,3 ppb,7 ppb,1 ppb,516 ppb
2026-03-23 09:05:22,3 ppb,7 ppb,1 ppb,516 ppb
2026-03-23 09:35:28,3 ppb,7 ppb,1 ppb,515 ppb
2026-03-23 10:05:34,3 ppb,7 ppb,1 ppb,515 ppb
2026-03-23 10:35:41,3 ppb,7 ppb,1 ppb,515 ppb
2026-03-23 11:05:47,3 ppb,7 ppb,1 ppb,515 ppb
2026-03-23 11:35:53,3 ppb,7 ppb,1 ppb,515 ppb
2026-03-23 12:05:59,3 ppb,7 ppb,1 ppb,514 ppb
2026-03-23 12:36:06,3 ppb,7 ppb,1 ppb,514 ppb
2026-03-23 13:06:12,3 ppb,7 ppb,1 ppb,514 ppb
2026-03-23 13:36:18,3 ppb,7 ppb,1 ppb,514 ppb
2026-03-23 14:06:24,3 ppb,7 ppb,1 ppb,514 ppb
2026-03-23 14:36:30,3 ppb,7 ppb,1 ppb,514 ppb
2026-03-23 15:06:48,3 ppb,7 ppb,1 ppb,513 ppb
2026-03-23 15:36:54,3 ppb,7 ppb,1 ppb,513 ppb
2026-03-23 16:07:00,3 ppb,7 ppb,1 ppb,513 ppb
2026-03-23 16:37:06,3 ppb,7 ppb,1 ppb,513 ppb
2026-03-23 17:37:19,3 ppb,7 ppb,1 ppb,513 ppb
2026-03-23 18:07:25,3 ppb,7 ppb,1 ppb,514 ppb
2026-03-23 18:37:31,3 ppb,7 ppb,1 ppb,514 ppb
2026-03-23 19:07:38,3 ppb,7 ppb,1 ppb,514 ppb
2026-03-23 19:37:44,3 ppb,7 ppb,1 ppb,514 ppb
2026-03-23 20:07:50,3 ppb,7 ppb,1 ppb,514 ppb
2026-03-23 20:37:56,3 ppb,7 ppb,1 ppb,514 ppb
2026-03-23 21:08:02,3 ppb,7 ppb,1 ppb,515 ppb
2026-03-23 21:38:09,3 ppb,7 ppb,1 ppb,515 ppb
2026-03-23 22:08:15,3 ppb,7 ppb,1 ppb,515 ppb
2026-03-23 22:38:21,3 ppb,7 ppb,1 ppb,515 ppb
2026-03-23 23:08:27,3 ppb,7 ppb,1 ppb,515 ppb
2026-03-23 23:38:33,3 ppb,7 ppb,1 ppb,515 ppb
2026-03-24 00:08:40,3 ppb,7 ppb,1 ppb,515 ppb
2026-03-24 00:38:46,3 ppb,7 ppb,1 ppb,515 ppb
2026-03-24 01:08:58,3 ppb,7 ppb,1 ppb,515 ppb
2026-03-24 01:39:04,3 ppb,7 ppb,1 ppb,515 ppb
2026-03-24 02:09:10,3 ppb,7 ppb,1 ppb,516 ppb
2026-03-24 02:39:16,3 ppb,7 ppb,1 ppb,516 ppb
2026-03-24 03:09:23,3 ppb,7 ppb,1 ppb,516 ppb
