TIME,NH3 PPB Médio,NH3 PPB Máximo,NH3 PPB Mínimo,NH3 uG Médio
2026-03-22 08:29:17,154 ppb,179 ppb,138 ppb,9384 ppb
2026-03-22 08:59:23,158 ppb,181 ppb,136 ppb,9624 ppb
2026-03-22 09:29:30,192 ppb,215 ppb,172 ppb,11687 ppb
2026-03-22 09:59:36,242 ppb,274 ppb,208 ppb,14724 ppb
2026-03-22 10:29:42,279 ppb,291 ppb,264 ppb,16964 ppb
2026-03-22 10:59:54,299 ppb,315 ppb,287 ppb,18171 ppb
2026-03-22 11:30:00,307 ppb,319 ppb,293 ppb,18650 ppb
2026-03-22 12:00:06,317 ppb,340 ppb,299 ppb,19248 ppb
2026-03-22 12:30:12,347 ppb,360 ppb,332 ppb,21046 ppb
2026-03-22 13:00:19,329 ppb,348 ppb,318 ppb,19944 ppb
2026-03-22 13:30:25,329 ppb,337 ppb,321 ppb,19934 ppb
2026-03-22 14:00:31,350 ppb,373 ppb,329 ppb,21193 ppb
2026-03-22 14:30:37,361 ppb,373 ppb,347 ppb,21846 ppb
2026-03-22 15:30:55,362 ppb,376 ppb,345 ppb,21903 ppb
2026-03-22 16:31:08,346 ppb,362 ppb,333 ppb,20931 ppb
2026-03-22 17:01:25,347 ppb,361 ppb,334 ppb,20995 ppb
2026-03-22 17:31:38,354 ppb,368 ppb,325 ppb,21422 ppb
2026-03-22 18:01:51,299 ppb,376 ppb,259 ppb,18105 ppb
2026-03-22 18:32:03,273 ppb,306 ppb,223 ppb,16544 ppb
2026-03-22 19:02:17,225 ppb,249 ppb,202 ppb,13644 ppb
2026-03-22 19:32:28,206 ppb,216 ppb,199 ppb,12499 ppb
2026-03-22 20:02:34,209 ppb,220 ppb,201 ppb,12685 ppb
2026-03-22 20:32:41,218 ppb,232 ppb,207 ppb,13235 ppb
2026-03-22 21:02:47,224 ppb,236 ppb,211 ppb,13601 ppb
2026-03-22 21:32:53,229 ppb,234 ppb,224 ppb,13908 ppb
2026-03-22 22:02:59,232 ppb,238 ppb,226 ppb,14093 ppb
2026-03-22 22:33:06,226 ppb,232 ppb,221 ppb,13731 ppb
2026-03-22 23:03:12,225 ppb,230 ppb,221 ppb,13671 ppb
2026-03-22 23:33:18,215 ppb,222 ppb,209 ppb,13066 ppb
2026-03-23 00:33:30,203 ppb,220 ppb,188 ppb,12344 ppb
2026-03-23 01:03:37,189 ppb,198 ppb,181 ppb,11495 ppb
2026-03-23 01:33:43,174 ppb,186 ppb,167 ppb,10585 ppb
2026-03-23 02:03:49,169 ppb,176 ppb,162 ppb,10282 ppb
2026-03-23 02:33:55,164 ppb,173 ppb,158 ppb,9980 ppb
2026-03-23 03:04:02,165 ppb,174 ppb,159 ppb,10042 ppb
2026-03-23 03:34:08,154 ppb,169 ppb,144 ppb,9375 ppb
2026-03-23 04:04:14,154 ppb,166 ppb,147 ppb,9377 ppb
2026-03-23 04:34:21,157 ppb,166 ppb,145 ppb,9561 ppb
2026-03-23 05:04:27,160 ppb,169 ppb,150 ppb,9745 ppb
2026-03-23 05:34:39,159 ppb,170 ppb,147 ppb,9686 ppb
2026-03-23 06:04:45,150 ppb,160 ppb,138 ppb,9139 ppb
2026-03-23 06:34:51,90 ppb,154 ppb,28 ppb,5485 ppb
2026-03-23 07:04:57,115 ppb,127 ppb,105 ppb,7009 ppb
2026-03-23 07:35:04,123 ppb,135 ppb,113 ppb,7497 ppb
2026-03-23 08:05:10,114 ppb,123 ppb,107 ppb,6946 ppb
2026-03-23 08:35:16,108 ppb,121 ppb,101 ppb,6577 ppb
2026-03-23 09:05:22,102 ppb,109 ppb,96 ppb,6208 ppb
2026-03-23 09:35:28,100 ppb,112 ppb,89 ppb,6084 ppb
2026-03-23 10:05:34,102 ppb,110 ppb,89 ppb,6205 ppb
2026-03-23 10:35:41,110 ppb,128 ppb,89 ppb,6690 ppb
2026-03-23 11:05:47,124 ppb,166 ppb,109 ppb,7539 ppb
2026-03-23 11:35:53,141 ppb,155 ppb,123 ppb,8569 ppb
2026-03-23 12:05:59,151 ppb,181 ppb,127 ppb,9172 ppb
2026-03-23 12:36:06,197 ppb,217 ppb,178 ppb,11956 ppb
2026-03-23 13:06:12,217 ppb,254 ppb,209 ppb,13163 ppb
2026-03-23 13:36:18,222 ppb,234 ppb,203 ppb,13462 ppb
2026-03-23 14:06:24,224 ppb,233 ppb,215 ppb,13582 ppb
2026-03-23 14:36:30,236 ppb,245 ppb,228 ppb,14308 ppb
2026-03-23 15:06:48,243 ppb,267 ppb,230 ppb,14728 ppb
2026-03-23 15:36:54,259 ppb,278 ppb,250 ppb,15693 ppb
2026-03-23 16:07:00,245 ppb,264 ppb,215 ppb,14842 ppb
2026-03-23 16:37:06,258 ppb,269 ppb,251 ppb,15628 ppb
2026-03-23 17:37:19,266 ppb,306 ppb,243 ppb,16118 ppb
2026-03-23 18:07:25,263 ppb,281 ppb,246 ppb,15946 ppb
2026-03-23 18:37:31,254 ppb,268 ppb,242 ppb,15409 ppb
2026-03-23 19:07:38,265 ppb,281 ppb,253 ppb,16083 ppb
2026-03-23 19:37:44,222 ppb,278 ppb,187 ppb,13478 ppb
2026-03-23 20:07:50,205 ppb,262 ppb,173 ppb,12449 ppb
2026-03-23 20:37:56,196 ppb,213 ppb,185 ppb,11906 ppb
2026-03-23 21:08:02,195 ppb,209 ppb,185 ppb,11847 ppb
2026-03-23 21:38:09,203 ppb,217 ppb,191 ppb,12335 ppb
2026-03-23 22:08:15,227 ppb,266 ppb,191 ppb,13795 ppb
2026-03-23 22:38:21,243 ppb,264 ppb,217 ppb,14769 ppb
2026-03-23 23:08:27,234 ppb,252 ppb,220 ppb,14222 ppb
2026-03-23 23:38:33,224 ppb,239 ppb,213 ppb,13615 ppb
2026-03-24 00:08:40,186 ppb,227 ppb,147 ppb,11307 ppb
2026-03-24 00:38:46,180 ppb,192 ppb,170 ppb,10945 ppb
2026-03-24 01:08:58,151 ppb,171 ppb,125 ppb,9184 ppb
2026-03-24 01:39:04,121 ppb,132 ppb,113 ppb,7363 ppb
2026-03-24 02:09:10,109 ppb,117 ppb,103 ppb,6636 ppb
2026-03-24 02:39:16,111 ppb,121 ppb,103 ppb,6760 ppb
2026-03-24 03:09:23,134 ppb,156 ppb,120 ppb,8162 ppb
2026-03-24 03:39:29,161 ppb,164 ppb,156 ppb,9807 ppb
2026-03-24 04:09:35,175 ppb,190 ppb,161 ppb,10661 ppb
2026-03-24 04:39:41,191 ppb,201 ppb,184 ppb,11637 ppb
2026-03-24 05:09:47,185 ppb,191 ppb,181 ppb,11273 ppb
2026-03-24 05:39:54,204 ppb,217 ppb,190 ppb,12432 ppb
2026-03-24 06:10:00,221 ppb,229 ppb,215 ppb,13468 ppb
2026-03-24 06:40:06,226 ppb,232 ppb,215 ppb,13774 ppb
2026-03-24 07:10:13,230 ppb,233 ppb,226 ppb,14019 ppb
2026-03-24 07:40:19,202 ppb,235 ppb,145 ppb,12311 ppb
2026-03-24 08:10:25,205 ppb,216 ppb,197 ppb,12489 ppb
2026-03-24 08:40:31,228 ppb,254 ppb,213 ppb,13884 ppb
2026-03-24 09:10:37,171 ppb,230 ppb,98 ppb,10406 ppb
2026-03-24 09:40:43,224 ppb,242 ppb,204 ppb,13624 ppb
2026-03-24 10:10:49,245 ppb,254 ppb,234 ppb,14898 ppb
2026-03-24 10:41:07,254 ppb,284 ppb,248 ppb,15437 ppb
2026-03-24 11:11:13,251 ppb,318 ppb,230 ppb,15249 ppb
2026-03-24 11:41:19,260 ppb,267 ppb,253 ppb,15788 ppb
2026-03-24 12:11:26,260 ppb,266 ppb,251 ppb,15779 ppb
2026-03-24 12:41:32,258 ppb,271 ppb,250 ppb,15653 ppb
2026-03-24 13:11:38,254 ppb,318 ppb,237 ppb,15405 ppb
2026-03-24 13:41:44,237 ppb,249 ppb,228 ppb,14379 ppb
2026-03-24 14:11:51,237 ppb,246 ppb,231 ppb,14382 ppb
2026-03-24 14:41:57,242 ppb,256 ppb,235 ppb,14684 ppb
2026-03-24 15:12:08,252 ppb,284 ppb,240 ppb,15289 ppb
2026-03-24 15:42:15,254 ppb,281 ppb,238 ppb,15409 ppb
2026-03-24 16:12:21,252 ppb,262 ppb,234 ppb,15287 ppb
2026-03-24 16:42:27,258 ppb,272 ppb,240 ppb,15652 ppb
2026-03-24 17:12:34,266 ppb,276 ppb,255 ppb,16139 ppb
2026-03-24 17:42:40,259 ppb,296 ppb,231 ppb,15720 ppb
2026-03-24 18:12:46,255 ppb,268 ppb,242 ppb,15485 ppb
2026-03-24 18:42:52,159 ppb,256 ppb,58 ppb,9660 ppb
2026-03-24 19:12:58,142 ppb,168 ppb,108 ppb,8631 ppb
2026-03-24 19:43:10,166 ppb,228 ppb,135 ppb,10093 ppb
2026-03-24 20:13:16,180 ppb,201 ppb,159 ppb,10947 ppb
2026-03-24 20:43:22,176 ppb,192 ppb,163 ppb,10704 ppb
2026-03-24 21:13:29,162 ppb,187 ppb,145 ppb,9855 ppb
2026-03-24 21:43:35,146 ppb,161 ppb,130 ppb,8883 ppb
2026-03-24 22:13:41,148 ppb,174 ppb,127 ppb,9008 ppb
2026-03-24 22:43:47,131 ppb,147 ppb,123 ppb,7975 ppb
2026-03-24 23:13:54,137 ppb,145 ppb,125 ppb,8342 ppb
2026-03-24 23:44:00,154 ppb,168 ppb,145 ppb,9379 ppb
2026-03-25 00:14:06,173 ppb,182 ppb,162 ppb,10538 ppb
2026-03-25 00:44:12,187 ppb,199 ppb,176 ppb,11392 ppb
