TIME,Direção do vento
2026-03-29 05:30:25,0
2026-03-29 06:00:37,0
2026-03-29 06:00:37,0
2026-03-29 06:30:43,0
2026-03-29 07:00:49,0
2026-03-29 07:30:56,0
2026-03-29 08:01:02,0
2026-03-29 08:31:08,0
2026-03-29 09:01:14,0
2026-03-29 09:31:20,0
2026-03-29 10:01:27,0
2026-03-29 10:31:33,0
2026-03-29 10:31:33,0
2026-03-29 11:01:39,0
2026-03-29 11:01:39,0
2026-03-29 11:31:45,0
2026-03-29 12:01:51,0
2026-03-29 12:31:58,0
2026-03-29 13:32:10,0
2026-03-29 14:02:16,0
2026-03-29 14:02:16,0
2026-03-29 14:32:23,0
2026-03-29 15:02:29,0
2026-03-29 15:32:35,0
2026-03-29 15:32:35,0
2026-03-29 15:32:35,0
2026-03-29 16:02:52,0
2026-03-29 16:32:58,0
2026-03-29 17:33:11,0
2026-03-29 18:03:17,0
2026-03-29 18:03:17,0
2026-03-29 18:33:23,0
2026-03-29 19:03:30,0
2026-03-29 19:33:36,0
2026-03-29 19:33:36,0
2026-03-29 20:03:42,0
2026-03-29 20:33:48,0
2026-03-29 21:03:54,0
2026-03-29 21:34:01,0
2026-03-29 22:04:07,0
2026-03-29 22:34:13,0
2026-03-29 23:04:19,0
2026-03-29 23:34:26,0
2026-03-29 23:34:26,0
2026-03-30 00:34:38,0
2026-03-30 01:04:50,0
2026-03-30 01:35:03,0
2026-03-30 02:05:16,0
2026-03-30 02:05:16,0
2026-03-30 02:35:28,0
2026-03-30 02:35:28,0
2026-03-30 03:05:48,0
2026-03-30 03:36:00,0
2026-03-30 04:36:12,0
2026-03-30 05:06:18,0
2026-03-30 05:36:25,0
2026-03-30 06:06:31,0
2026-03-30 06:06:31,0
2026-03-30 06:36:37,0
2026-03-30 07:06:43,0
2026-03-30 07:36:49,0
2026-03-30 07:36:49,0
2026-03-30 08:06:56,0
2026-03-30 08:37:02,0
2026-03-30 08:37:02,0
2026-03-30 09:07:08,0
2026-03-30 09:37:14,0
2026-03-30 09:37:14,0
2026-03-30 09:37:14,0
2026-03-30 10:07:21,0
2026-03-30 11:07:33,0
2026-03-30 11:37:45,0
2026-03-30 12:07:58,0
2026-03-30 12:38:11,0
2026-03-30 13:08:23,0
2026-03-30 13:38:36,0
2026-03-30 13:38:36,0
2026-03-30 14:08:48,0
2026-03-30 15:09:01,0
2026-03-30 16:09:13,0
2026-03-30 16:09:13,0
2026-03-30 16:39:25,0
2026-03-30 17:09:31,0
2026-03-30 17:09:31,0
2026-03-30 17:09:31,0
2026-03-30 17:39:37,0
2026-03-30 17:39:37,0
2026-03-30 17:39:37,0
2026-03-30 18:09:43,0
2026-03-30 18:39:50,0
2026-03-30 19:10:01,0
2026-03-30 19:40:14,0
2026-03-30 20:10:27,0
2026-03-30 20:40:40,0
2026-03-30 21:10:53,0
2026-03-30 21:10:53,0
2026-03-30 21:41:05,0
2026-03-30 22:11:16,0
2026-03-30 22:41:36,0
2026-03-30 23:11:56,0
2026-03-30 23:42:15,0
2026-03-31 00:12:34,0
2026-03-31 00:12:34,0
2026-03-31 11:47:20,0
2026-03-31 12:47:33,0
2026-03-31 12:47:33,0
2026-03-31 12:47:33,0
2026-03-31 13:17:39,0
2026-03-31 13:17:39,0
2026-03-31 13:17:39,0
2026-03-31 13:47:45,0
2026-03-31 13:47:45,0
2026-03-31 14:17:51,0
2026-03-31 14:17:51,0
2026-03-31 14:47:57,0
2026-03-31 14:47:57,0
2026-03-31 15:18:04,0
2026-03-31 15:18:04,0
2026-03-31 15:18:04,0
2026-03-31 15:48:10,0
2026-03-31 15:48:10,0
2026-03-31 16:18:16,0
2026-03-31 16:18:16,0
2026-03-31 16:48:28,0
2026-03-31 16:48:28,0
2026-03-31 16:48:28,0
2026-03-31 17:18:34,0
2026-03-31 18:18:47,0
2026-03-31 18:18:47,0
2026-03-31 18:48:53,0
2026-03-31 18:48:53,0
2026-03-31 19:19:04,0
2026-03-31 19:19:04,0
2026-03-31 19:49:11,0
2026-03-31 19:49:11,0
2026-03-31 19:49:11,0
2026-03-31 20:19:17,0
2026-03-31 20:19:17,0
2026-03-31 20:49:23,0
2026-03-31 20:49:23,0
2026-03-31 21:19:29,0
2026-03-31 21:19:29,0
2026-03-31 22:49:48,0
2026-03-31 23:19:54,0
2026-03-31 23:50:00,0
2026-03-31 23:50:00,0
2026-03-31 23:50:00,0
2026-04-01 00:20:07,0
2026-04-01 00:20:07,0
2026-04-01 00:50:25,0
2026-04-01 00:50:25,0
2026-04-01 01:20:31,0
2026-04-01 01:20:31,0
2026-04-01 01:50:44,0
2026-04-01 01:50:44,0
2026-04-01 02:21:04,0
2026-04-01 02:21:04,0
2026-04-01 02:51:10,0
2026-04-01 02:51:10,0
2026-04-01 03:21:23,0
2026-04-01 04:21:46,0
2026-04-01 04:51:52,0
2026-04-01 05:21:59,0
2026-04-01 05:21:59,0
2026-04-01 05:52:05,0
2026-04-01 06:22:11,0
2026-04-01 06:22:11,0
2026-04-01 07:22:24,0
2026-04-01 07:52:30,0
2026-04-01 07:52:30,0
2026-04-01 08:22:36,0
2026-04-01 09:22:48,0
2026-04-01 09:53:00,0
2026-04-01 10:23:13,0
2026-04-01 10:53:26,0
2026-04-01 11:23:39,0
2026-04-01 11:23:39,0
2026-04-01 11:23:39,0
2026-04-01 11:53:52,0
2026-04-01 12:24:03,0
2026-04-01 12:54:10,0
2026-04-01 12:54:10,0
2026-04-01 13:24:16,0
2026-04-01 13:54:22,0
2026-04-01 13:54:22,0
2026-04-01 13:54:22,0
2026-04-01 14:24:28,0
2026-04-01 14:54:35,0
2026-04-01 14:54:35,0
2026-04-01 15:24:41,0
2026-04-01 15:24:41,0
2026-04-01 15:24:41,0
2026-04-01 15:54:47,0
2026-04-01 16:24:53,0
2026-04-01 16:55:05,0
2026-04-01 17:25:11,0
2026-04-01 17:55:17,0
2026-04-01 18:25:23,0
2026-04-01 18:55:30,0
2026-04-01 19:25:36,0
2026-04-01 19:55:42,0
2026-04-01 20:25:49,0
2026-04-01 20:55:55,0
2026-04-01 21:26:07,0
2026-04-01 21:56:13,0
2026-04-01 21:56:13,0
2026-04-01 22:26:19,0
2026-04-01 23:26:31,0
2026-04-01 23:56:38,0
2026-04-02 00:26:44,0
2026-04-02 00:26:44,0
2026-04-02 00:56:50,0
2026-04-02 01:26:56,0
2026-04-02 01:26:56,0
2026-04-02 01:57:03,0
2026-04-02 01:57:03,0
2026-04-02 02:27:09,0
2026-04-02 02:27:09,0
2026-04-02 02:57:15,0
2026-04-02 03:27:21,0
2026-04-02 03:57:27,0
2026-04-02 03:57:27,0
2026-04-02 04:27:34,0
2026-04-02 04:57:40,0
2026-04-02 05:27:46,0
2026-04-02 05:57:52,0
2026-04-02 05:57:52,0
2026-04-02 06:27:59,0
2026-04-02 06:58:05,0
2026-04-02 07:28:22,0
2026-04-02 07:58:29,0
2026-04-02 07:58:29,0
2026-04-02 08:28:35,0
2026-04-02 08:58:41,0
2026-04-02 09:28:47,0
2026-04-02 10:28:59,0
2026-04-02 10:28:59,0
2026-04-02 10:59:06,0
2026-04-02 10:59:06,0
2026-04-02 11:29:12,0
2026-04-02 11:29:12,0
2026-04-02 11:59:18,0
2026-04-02 12:29:24,0
2026-04-02 12:59:30,0
2026-04-02 12:59:30,0
2026-04-02 13:29:37,0
2026-04-02 13:59:43,0
2026-04-02 14:29:49,0
2026-04-02 14:29:49,0
2026-04-02 14:59:55,0
2026-04-02 15:30:02,0
2026-04-02 16:00:08,0
2026-04-02 16:30:14,0
2026-04-02 17:00:31,0
2026-04-02 17:30:38,0
2026-04-02 18:00:44,0
2026-04-02 18:00:44,0
2026-04-02 18:30:50,0
2026-04-02 19:00:56,0
2026-04-02 19:31:02,0
2026-04-02 20:01:08,0
2026-04-02 20:31:15,0
2026-04-02 20:31:15,0
2026-04-02 20:31:15,0
2026-04-02 21:01:21,0
2026-04-02 21:31:27,0
2026-04-02 21:31:27,0
2026-04-02 22:31:40,0
2026-04-02 23:01:46,0
2026-04-02 23:01:46,0
2026-04-02 23:31:52,0
2026-04-03 00:01:58,0
2026-04-03 00:32:04,0
2026-04-03 01:02:11,0
2026-04-03 01:02:11,0
2026-04-03 01:32:17,0
2026-04-03 01:32:17,0
2026-04-03 01:32:17,0
2026-04-03 02:02:23,0
2026-04-03 02:32:29,0
2026-04-03 02:32:29,0
2026-04-03 03:02:46,0
2026-04-03 03:32:53,0
2026-04-03 03:32:53,0
2026-04-03 04:02:59,0
2026-04-03 04:33:05,0
2026-04-03 05:03:11,0
2026-04-03 05:33:18,0
2026-04-03 06:03:24,0
2026-04-03 06:03:24,0
2026-04-03 06:33:30,0
2026-04-03 07:03:36,0
2026-04-03 07:33:42,0
2026-04-03 07:33:42,0
2026-04-03 08:03:49,0
2026-04-03 08:33:55,0
2026-04-03 09:04:01,0
2026-04-03 09:04:01,0
2026-04-03 09:34:07,0
2026-04-03 10:04:14,0
2026-04-03 11:04:26,0
2026-04-03 11:04:26,0
2026-04-03 11:04:26,0
2026-04-03 11:34:32,0
2026-04-03 12:04:39,0
2026-04-03 12:34:45,0
2026-04-03 13:04:57,0
2026-04-03 13:04:57,0
2026-04-03 13:35:03,0
2026-04-03 14:05:09,0
2026-04-03 14:35:15,0
2026-04-03 14:35:15,0
2026-04-03 15:35:28,0
2026-04-03 16:05:34,0
2026-04-03 16:05:34,0
2026-04-03 16:35:40,0
2026-04-03 17:05:52,0
2026-04-03 17:35:58,0
2026-04-03 18:06:05,0
